"Session Start","Length","Site","Game","Stake","Table","Hands","My C Won","Raise First","PF Squeeze","Limp/Raise","Limp/Call","PF AFq","CC 2Bet PF","Call Steal","3Bet PF","3Bet Steal","2Bet T","Call T 2Bet","CBet T","Donk T","2Bet R","Call R CBet","CBet R","Donk R","Probe R","River AFq","Turn AFq"
"2023/03/03  1:11 pm","2:01","Ignition","Holdem","$0.05 NL (6 max)","28949309","162","-$3.22","33.75","27.27","0.00","0.00","21.25","7.14","0.00","7.14","4.76","12.50","-","100.00","0.00","50.00","-","50.00","0.00","-","83.33","50.00"
"2023/03/03  1:10 pm","2:05","Ignition","Holdem","$0.05 NL (6 max)","28950716","129","-$2.95","25.76","0.00","-","-","15.04","0.00","10.34","5.36","6.90","16.67","-","100.00","0.00","50.00","0.00","100.00","0.00","-","75.00","58.33"
"2023/03/02  4:31 pm","0:28","Ignition","Holdem","$0.05 NL (6 max)","28940973","22","$2.93","12.50","0.00","-","-","10.53","0.00","-","0.00","-","0.00","-","-","100.00","100.00","-","-","0.00","-","100.00","75.00"
"2023/03/02  3:54 pm","1:04","Ignition","Holdem","$0.05 NL (6 max)","28942394","61","$0.85","25.00","0.00","-","-","12.28","0.00","33.33","6.25","0.00","0.00","100.00","-","0.00","-","-","-","0.00","-","-","33.33"
"2023/03/02  3:52 pm","1:07","Ignition","Holdem","$0.05 NL (6 max)","28940785","90","$23.36","31.82","10.00","-","-","19.79","0.00","16.67","3.33","0.00","33.33","-","100.00","0.00","0.00","100.00","-","-","-","66.67","66.67"
"2023/03/02  3:52 pm","0:01","Ignition","Holdem","$0.05 NL (6 max)","28942544","1","$0.10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100.00","-"
"2023/03/02  3:51 pm","0:38","Ignition","Holdem","$0.05 NL (6 max)","28942529","43","$5.73","16.67","0.00","-","-","15.00","0.00","0.00","5.26","0.00","0.00","0.00","100.00","0.00","0.00","-","-","0.00","-","66.67","66.67"
"2023/02/28  1:02 pm","0:16","Ignition","Holdem","$0.05 NL (6 max)","28924200","15","-$0.21","0.00","0.00","-","-","0.00","0.00","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-"
"2023/02/28 12:22 pm","0:58","Ignition","Holdem","$0.05 NL (6 max)","28924114","75","$5.63","19.51","0.00","-","-","13.70","0.00","0.00","5.56","0.00","-","0.00","100.00","-","-","-","-","-","-","-","80.00"
"2023/02/28 12:22 pm","0:57","Ignition","Holdem","$0.05 NL (6 max)","28919531","96","$2.26","30.91","0.00","-","-","20.62","16.67","5.00","5.71","5.00","0.00","-","-","-","33.33","-","-","-","-","50.00","75.00"
"2023/02/28 12:21 pm","0:37","Ignition","Holdem","$0.05 NL (6 max)","28924100","55","$1.81","23.08","0.00","-","-","16.33","0.00","0.00","0.00","0.00","0.00","-","-","-","0.00","-","-","-","-","50.00","25.00"
"2023/02/28 12:20 pm","0:59","Ignition","Holdem","$0.05 NL (6 max)","28924983","75","$1.18","23.26","0.00","-","-","15.07","0.00","55.56","0.00","0.00","0.00","-","50.00","0.00","0.00","-","100.00","0.00","-","80.00","57.14"
"2023/02/24 12:12 am","0:38","Ignition","Holdem","$0.05 NL (6 max)","28886789","35","$2.33","14.29","0.00","-","-","12.12","0.00","0.00","10.00","100.00","-","-","0.00","0.00","0.00","-","-","-","-","20.00","100.00"
"2023/02/23 10:52 pm","2:02","Ignition","Holdem","$0.05 NL (6 max)","28885673","107","$3.71","24.39","0.00","-","-","16.19","0.00","0.00","3.03","0.00","25.00","0.00","66.67","-","25.00","-","-","0.00","-","55.56","60.00"
"2023/02/23 10:51 pm","1:59","Ignition","Holdem","$0.05 NL (6 max)","28887230","135","-$8.32","32.81","33.33","-","-","23.39","0.00","0.00","6.25","0.00","33.33","-","50.00","0.00","0.00","-","-","0.00","-","66.67","60.00"
"2023/02/23 10:49 pm","1:22","Ignition","Holdem","$0.05 NL (6 max)","28885647","103","$8.17","28.89","0.00","-","-","20.20","12.50","16.67","11.43","16.67","28.57","0.00","100.00","0.00","0.00","100.00","-","50.00","-","57.14","45.45"
"2023/02/23 10:48 pm","2:03","Ignition","Holdem","$0.05 NL (6 max)","28885646","145","-$2.19","22.54","14.29","-","-","17.02","5.00","0.00","10.71","13.33","0.00","-","-","0.00","0.00","-","-","-","100.00","75.00","14.29"
"2023/02/23  5:58 pm","1:56","Ignition","Holdem","$0.05 NL (6 max)","28883782","133","-$1.88","24.19","0.00","-","-","13.53","7.41","15.38","3.51","7.69","12.50","0.00","50.00","0.00","0.00","-","-","0.00","100.00","66.67","33.33"
"2023/02/23  5:58 pm","1:58","Ignition","Holdem","$0.05 NL (6 max)","28885134","136","-$0.52","25.71","0.00","-","-","16.43","4.55","17.65","8.77","5.88","14.29","100.00","50.00","0.00","0.00","-","-","25.00","-","50.00","36.36"
"2023/02/23  5:57 pm","1:58","Ignition","Holdem","$0.05 NL (6 max)","28874898","139","-$0.33","23.64","0.00","-","-","13.04","3.33","17.39","2.99","4.55","28.57","-","100.00","0.00","0.00","-","-","0.00","-","16.67","50.00"
"2023/02/23  5:54 pm","2:00","Ignition","Holdem","$0.05 NL (6 max)","28885131","157","$11.67","27.50","0.00","-","-","17.58","7.69","15.00","6.45","0.00","37.50","-","66.67","0.00","0.00","100.00","0.00","0.00","-","37.50","53.85"
"2023/02/20  3:13 pm","0:41","Ignition","Holdem","$0.05 NL (6 max)","28854165","47","-$1.55","27.27","0.00","-","-","16.33","0.00","0.00","0.00","0.00","0.00","-","-","-","0.00","-","-","0.00","-","0.00","33.33"
"2023/02/20  3:12 pm","0:42","Ignition","Holdem","$0.05 NL (6 max)","28858762","45","-$4.30","30.00","0.00","-","-","24.44","0.00","0.00","5.56","0.00","0.00","-","100.00","0.00","0.00","-","-","-","-","50.00","33.33"
"2023/02/20  3:09 pm","0:46","Ignition","Holdem","$0.05 NL (6 max)","28858552","38","-$1.60","18.18","0.00","-","-","13.51","0.00","-","0.00","-","0.00","-","100.00","-","0.00","-","-","-","-","0.00","50.00"
"2023/02/19  4:37 pm","1:01","Ignition","Holdem","$0.05 NL (6 max)","28850475","70","$0.39","21.21","20.00","-","-","13.64","0.00","0.00","5.88","0.00","100.00","-","100.00","-","-","-","-","-","-","-","100.00"
"2023/02/19  4:36 pm","1:02","Ignition","Holdem","$0.05 NL (6 max)","28850699","89","$4.05","27.27","0.00","-","-","18.39","0.00","14.29","6.06","7.14","33.33","-","100.00","-","0.00","-","-","-","-","50.00","66.67"
"2023/02/19  4:35 pm","1:04","Ignition","Holdem","$0.05 NL (6 max)","28850441","74","-$0.58","17.14","20.00","-","-","13.70","0.00","22.22","7.14","11.11","-","-","-","-","-","-","-","-","-","75.00","100.00"
"2023/02/17  3:13 pm","1:23","Ignition","Holdem","$0.05 NL (6 max)","28833313","115","$1.81","25.93","0.00","-","-","14.29","5.00","9.52","2.17","4.76","33.33","-","100.00","0.00","-","-","-","-","-","100.00","71.43"
"2023/02/17  3:06 pm","1:32","Ignition","Holdem","$0.05 NL (6 max)","28833648","105","$1.27","31.03","0.00","-","-","20.19","8.33","13.33","2.86","6.67","25.00","-","0.00","0.00","100.00","-","-","-","0.00","100.00","40.00"
"2023/02/16  3:41 pm","0:52","Ignition","Holdem","$0.05 NL (6 max)","28825670","71","-$3.09","17.50","0.00","-","-","17.39","0.00","16.67","15.38","16.67","0.00","0.00","100.00","0.00","-","-","100.00","-","0.00","100.00","66.67"
"2023/02/16  3:41 pm","0:53","Ignition","Holdem","$0.05 NL (6 max)","28825602","52","-$0.82","27.27","0.00","-","-","19.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","0.00","-","40.00","25.00"
"2023/02/12  8:46 pm","0:36","Ignition","Holdem","$0.05 NL (6 max)","28793778","26","-$3.90","62.50","0.00","-","-","32.14","0.00","-","0.00","-","0.00","-","-","0.00","0.00","-","-","-","-","0.00","25.00"
"2023/02/12  8:36 pm","0:46","Ignition","Holdem","$0.05 NL (6 max)","28793150","48","-$5.89","23.53","0.00","-","-","22.92","0.00","0.00","15.79","33.33","0.00","-","66.67","0.00","0.00","-","100.00","-","-","50.00","50.00"
"2023/02/08  4:36 pm","0:02","Ignition","Holdem","$0.05 NL (6 max)","28757649","2","-$0.10","0.00","-","-","-","0.00","-","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","0.00"
"2023/02/08  2:46 pm","0:05","Ignition","Holdem","$0.05 NL (6 max)","28756327","8","-$0.14","0.00","-","-","-","0.00","-","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-"
"2023/02/08  2:45 pm","0:04","Ignition","Holdem","$0.05 NL (6 max)","28756069","4","-$0.07","-","-","-","-","0.00","0.00","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-"
"2023/02/05  9:01 pm","0:49","Ignition","Holdem","$0.05 NL (6 max)","28732952","58","-$0.29","19.35","0.00","-","-","14.81","11.11","44.44","8.70","0.00","0.00","-","100.00","-","0.00","100.00","-","-","-","33.33","50.00"
"2023/02/05  8:59 pm","0:51","Ignition","Holdem","$0.05 NL (6 max)","28733851","53","-$0.40","26.92","-","-","-","14.81","0.00","25.00","4.17","0.00","0.00","0.00","100.00","0.00","50.00","0.00","-","-","-","50.00","50.00"
"2023/02/05  8:59 pm","0:52","Ignition","Holdem","$0.05 NL (6 max)","28733953","55","-$10.98","21.88","0.00","-","-","15.09","20.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","-","-","0.00","-","25.00","37.50"
"2023/02/04 10:20 pm","0:08","Ignition","Holdem","$0.05 NL (6 max)","28725895","10","-$0.21","42.86","-","-","-","40.00","-","0.00","50.00","0.00","-","-","-","-","-","-","-","-","-","-","100.00"
"2023/02/04  9:43 pm","0:48","Ignition","Holdem","$0.05 NL (6 max)","28724462","75","-$1.38","19.57","0.00","-","-","13.89","0.00","8.33","5.00","8.33","0.00","-","0.00","0.00","0.00","-","-","-","-","0.00","33.33"
"2023/02/04  9:42 pm","0:48","Ignition","Holdem","$0.05 NL (6 max)","28725472","46","-$0.71","13.64","-","-","-","14.63","0.00","0.00","14.29","20.00","0.00","-","100.00","0.00","0.00","-","0.00","-","-","25.00","66.67"
"2022/10/18  6:38 pm","0:04","Ignition","Holdem","$0.05 NL (6 max)","27852621","5","-$0.07","0.00","-","-","-","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-"
"2022/10/18  6:34 pm","0:08","Ignition","Holdem","$0.05 NL (6 max)","27853662","14","-$0.71","0.00","-","-","-","0.00","-","100.00","0.00","0.00","-","-","-","-","-","-","-","-","-","100.00","100.00"
"2022/10/18  6:33 pm","0:07","Ignition","Holdem","$0.05 NL (6 max)","27854565","10","-$1.47","33.33","0.00","-","-","23.08","-","0.00","0.00","0.00","-","-","-","0.00","-","-","-","-","100.00","100.00","-"
"2022/10/18  6:33 pm","0:08","Ignition","Holdem","$0.05 NL (6 max)","27852658","13","-$0.49","33.33","0.00","-","-","23.08","0.00","0.00","16.67","100.00","-","-","-","-","-","-","-","-","-","-","-"
"2021/01/13  8:01 am","0:38","Ignition","Holdem","$0.05 NL (6 max)","23407395","43","$4.31","37.50","0.00","-","-","22.50","0.00","0.00","0.00","0.00","-","-","100.00","-","-","-","100.00","-","-","100.00","100.00"
"2021/01/13  7:44 am","0:54","Ignition","Holdem","$0.05 NL (6 max)","23406144","46","$0.07","26.67","0.00","-","-","15.91","0.00","0.00","0.00","0.00","0.00","0.00","100.00","-","0.00","-","-","-","-","25.00","60.00"
"2021/01/13  7:42 am","0:57","Ignition","Holdem","$0.05 NL (6 max)","23405276","68","-$5.68","30.56","0.00","-","-","19.40","10.00","25.00","3.70","0.00","0.00","-","100.00","-","0.00","-","-","0.00","-","0.00","28.57"
"2021/01/07  6:48 pm","1:12","Ignition","Holdem","$0.05 NL (6 max)","23373415","95","-$2.39","26.09","0.00","-","-","15.38","8.33","16.67","3.03","8.33","0.00","100.00","100.00","0.00","0.00","-","0.00","-","-","50.00","66.67"
"2021/01/07  6:39 pm","1:20","Ignition","Holdem","$0.05 NL (6 max)","23372212","75","-$2.13","27.27","0.00","-","-","16.44","0.00","25.00","6.45","8.33","0.00","-","0.00","0.00","0.00","-","-","50.00","-","66.67","28.57"
"2021/01/07  6:39 pm","1:21","Ignition","Holdem","$0.05 NL (6 max)","23371656","73","-$5.92","34.38","0.00","-","-","18.18","18.18","33.33","3.13","0.00","33.33","-","75.00","0.00","0.00","-","100.00","-","0.00","25.00","50.00"
"2021/01/07  6:37 pm","1:23","Ignition","Holdem","$0.05 NL (6 max)","23367385","81","$2.25","15.38","0.00","-","-","11.39","0.00","14.29","13.33","42.86","50.00","-","100.00","0.00","0.00","-","-","-","0.00","0.00","83.33"
"2020/12/27  6:51 pm","0:24","Ignition","Holdem","$0.05 NL (6 max)","23299418","32","-$0.14","33.33","0.00","-","-","23.33","0.00","0.00","0.00","0.00","0.00","-","100.00","-","0.00","-","-","-","-","0.00","50.00"
"2020/12/27  6:50 pm","0:25","Ignition","Holdem","$0.05 NL (6 max)","23298566","21","$1.40","14.29","0.00","-","-","5.26","0.00","-","0.00","-","0.00","-","-","-","0.00","-","-","0.00","-","33.33","0.00"
"2020/12/27  6:49 pm","0:26","Ignition","Holdem","$0.05 NL (6 max)","23297917","36","-$0.97","8.33","0.00","-","-","2.86","0.00","0.00","0.00","0.00","0.00","-","-","-","0.00","-","-","0.00","-","0.00","0.00"
"2020/12/27  6:48 pm","0:28","Ignition","Holdem","$0.05 NL (6 max)","23299808","31","$0.01","20.00","-","-","-","14.29","0.00","50.00","0.00","0.00","0.00","-","0.00","0.00","0.00","-","-","-","-","66.67","40.00"
"2020/12/24  3:40 pm","0:45","Ignition","Holdem","$0.05 NL (6 max)","23279951","39","-$1.18","21.43","0.00","-","-","10.81","12.50","0.00","0.00","0.00","0.00","-","0.00","0.00","0.00","-","-","-","-","0.00","0.00"
"2020/12/24  3:25 pm","1:00","Ignition","Holdem","$0.05 NL (6 max)","23278462","64","$2.97","8.82","0.00","-","-","6.67","0.00","25.00","6.25","25.00","0.00","-","100.00","0.00","0.00","-","-","0.00","50.00","60.00","40.00"
"2020/12/24  3:24 pm","1:01","Ignition","Holdem","$0.05 NL (6 max)","23277912","70","$12.71","43.59","0.00","-","-","27.14","0.00","40.00","0.00","0.00","50.00","-","100.00","0.00","-","-","0.00","-","0.00","100.00","66.67"
"2020/12/23  5:59 pm","0:21","Ignition","Holdem","$0.05 NL (6 max)","23273988","21","-$1.85","22.22","-","-","-","16.67","0.00","0.00","0.00","0.00","0.00","-","100.00","-","0.00","-","0.00","-","-","50.00","50.00"
"2020/12/23  5:39 pm","0:41","Ignition","Holdem","$0.05 NL (6 max)","23274006","51","$3.69","30.00","25.00","-","-","18.00","0.00","0.00","9.09","0.00","0.00","-","0.00","0.00","-","-","-","-","-","-","0.00"
"2020/12/23  5:35 pm","0:45","Ignition","Holdem","$0.05 NL (6 max)","23273635","46","$2.51","13.64","0.00","-","-","11.90","0.00","0.00","6.25","0.00","0.00","-","-","0.00","0.00","-","-","-","-","50.00","0.00"
"2020/12/21  7:30 pm","0:20","Ignition","Holdem","$0.05 NL (6 max)","23262231","17","-$2.54","25.00","20.00","-","-","22.22","0.00","100.00","12.50","0.00","0.00","-","-","-","0.00","-","-","-","-","0.00","0.00"
"2020/12/21  7:29 pm","0:21","Ignition","Holdem","$0.05 NL (6 max)","23262215","26","-$0.47","30.00","0.00","-","-","15.38","28.57","0.00","6.67","20.00","50.00","-","-","-","0.00","100.00","-","-","-","0.00","66.67"
"2020/12/17  6:39 pm","0:19","Ignition","Holdem","$0.05 NL (6 max)","23233953","19","$0.22","66.67","0.00","-","-","23.81","0.00","-","0.00","-","0.00","-","-","-","0.00","-","-","-","-","0.00","0.00"
"2020/08/10  9:29 pm","0:29","Ignition","Holdem","$0.05 NL (6 max)","22266738","37","-$1.46","40.00","0.00","-","-","27.03","20.00","33.33","6.67","0.00","0.00","-","100.00","-","0.00","100.00","-","0.00","-","33.33","33.33"
"2020/08/10  9:29 pm","0:30","Ignition","Holdem","$0.05 NL (6 max)","22267883","30","$0.64","33.33","0.00","-","-","16.67","20.00","50.00","0.00","0.00","0.00","-","100.00","-","-","-","100.00","-","-","100.00","66.67"
"2020/08/02  3:33 pm","0:18","Ignition","Holdem","$0.05 NL (6 max)","22207648","21","$0.09","16.67","0.00","0.00","0.00","11.11","0.00","-","0.00","-","-","-","-","0.00","0.00","-","-","-","-","0.00","-"
"2020/08/02  3:10 pm","0:42","Ignition","Holdem","$0.05 NL (6 max)","22209364","33","$1.05","25.00","0.00","-","-","22.58","20.00","50.00","20.00","0.00","0.00","-","100.00","0.00","0.00","-","-","0.00","-","40.00","60.00"
"2020/08/02  3:00 pm","0:31","Ignition","Holdem","$0.05 NL (6 max)","22208840","34","$5.52","22.22","25.00","-","-","18.75","0.00","0.00","8.33","0.00","50.00","-","100.00","-","-","-","100.00","0.00","-","100.00","75.00"
"2020/08/02  2:57 pm","0:54","Ignition","Holdem","$0.05 NL (6 max)","22209429","47","$2.83","6.67","0.00","-","-","4.44","14.29","100.00","5.88","0.00","0.00","-","-","0.00","100.00","-","-","-","-","100.00","33.33"
